condition_str,subj_id,num,type,error,correctmove,latency,omit,direction
SD,SB2,2.0,1.0,0.0,-1.0,0.0,1.0,416.0
SD,SB2,3.0,1.0,0.0,1.0,310.0,0.0,114.0
SD,SB2,4.0,1.0,0.0,-1.0,0.0,1.0,73.0
SD,SB2,5.0,1.0,0.0,-1.0,0.0,1.0,-152.0
SD,SB2,6.0,1.0,0.0,-1.0,0.0,1.0,124.0
SD,SB2,7.0,1.0,0.0,-1.0,0.0,1.0,-134.0
SD,SB2,8.0,1.0,0.0,1.0,295.0,0.0,-412.0
SD,SB2,9.0,1.0,0.0,1.0,275.0,0.0,-176.0
SD,SB2,10.0,1.0,1.0,0.0,299.0,0.0,-76.0
SD,SB2,11.0,1.0,1.0,0.0,295.0,0.0,217.0
SD,SB2,12.0,1.0,0.0,1.0,336.0,0.0,-193.0
SD,SB2,13.0,1.0,0.0,1.0,300.0,0.0,-173.0
SD,SB2,14.0,1.0,0.0,-1.0,0.0,1.0,324.0
SD,SB2,15.0,1.0,0.0,-1.0,0.0,1.0,28.0
SD,SB2,16.0,1.0,0.0,1.0,352.0,0.0,-249.0
SD,SB2,17.0,1.0,0.0,-1.0,0.0,1.0,457.0
SD,SB2,19.0,1.0,0.0,-1.0,0.0,1.0,-190.0
SD,SB2,20.0,1.0,0.0,-1.0,0.0,1.0,298.0
SD,SB2,21.0,1.0,0.0,-1.0,0.0,1.0,167.0
SD,SB2,22.0,1.0,0.0,1.0,310.0,0.0,-447.0
SD,SB2,23.0,1.0,1.0,0.0,309.0,0.0,194.0
SD,SB2,24.0,1.0,0.0,1.0,409.0,0.0,-349.0
SD,SB2,25.0,1.0,1.0,0.0,287.0,0.0,195.0
SD,SB2,26.0,1.0,0.0,1.0,301.0,0.0,235.0
SD,SB2,27.0,1.0,0.0,1.0,311.0,0.0,-350.0
SD,SB2,28.0,1.0,0.0,1.0,372.0,0.0,-336.0
SD,SB2,29.0,1.0,0.0,1.0,376.0,0.0,466.0
SD,SB2,30.0,1.0,0.0,1.0,341.0,0.0,-101.0
SD,SB2,31.0,1.0,1.0,0.0,254.0,0.0,126.0
SD,SB2,32.0,1.0,0.0,-1.0,0.0,1.0,-59.0
SD,SB2,33.0,1.0,1.0,0.0,341.0,0.0,370.0
SD,SB2,34.0,1.0,0.0,1.0,340.0,0.0,-379.0
SD,SB2,35.0,1.0,0.0,1.0,305.0,0.0,-133.0
SD,SB2,36.0,1.0,0.0,-1.0,0.0,1.0,-402.0
SD,SB2,37.0,1.0,0.0,-1.0,0.0,1.0,199.0
SD,SB2,38.0,1.0,1.0,0.0,265.0,0.0,-431.0
SD,SB2,39.0,1.0,0.0,-1.0,0.0,1.0,370.0
SD,SB2,40.0,1.0,0.0,-1.0,0.0,1.0,-405.0
SD,SB2,41.0,1.0,0.0,1.0,302.0,0.0,94.0
SD,SB2,42.0,1.0,0.0,1.0,270.0,0.0,254.0
SD,SB2,43.0,1.0,0.0,1.0,301.0,0.0,-154.0
SD,SB2,44.0,1.0,1.0,0.0,310.0,0.0,368.0
SD,SB2,45.0,1.0,0.0,1.0,385.0,0.0,90.0
SD,SB2,46.0,1.0,0.0,1.0,265.0,0.0,-282.0
SD,SB2,47.0,1.0,0.0,1.0,289.0,0.0,-396.0
SD,SB2,48.0,1.0,0.0,-1.0,0.0,1.0,147.0
SD,SB2,49.0,1.0,0.0,1.0,234.0,0.0,336.0
SD,SB2,50.0,1.0,0.0,1.0,340.0,0.0,234.0
SD,SB2,51.0,1.0,1.0,0.0,240.0,0.0,324.0
SD,SB2,52.0,1.0,0.0,1.0,345.0,0.0,50.0
SD,SB2,53.0,1.0,0.0,1.0,216.0,0.0,-182.0
SD,SB2,54.0,1.0,0.0,1.0,351.0,0.0,-360.0
SD,SB2,55.0,1.0,0.0,1.0,335.0,0.0,-361.0
SD,SB2,56.0,1.0,0.0,-1.0,0.0,1.0,8.0
SD,SB2,57.0,1.0,0.0,-1.0,0.0,1.0,223.0
SD,SB2,58.0,1.0,0.0,1.0,340.0,0.0,-314.0
SD,SB2,59.0,1.0,1.0,0.0,255.0,0.0,-229.0
SD,SB2,60.0,1.0,0.0,1.0,290.0,0.0,426.0
SD,SB2,61.0,1.0,0.0,-1.0,0.0,1.0,367.0
SD,SB2,62.0,1.0,0.0,-1.0,0.0,1.0,5.0
SD,SB2,63.0,1.0,0.0,1.0,306.0,0.0,-370.0
SD,SB2,64.0,1.0,0.0,1.0,354.0,0.0,-247.0
SD,SB2,65.0,1.0,0.0,-1.0,0.0,1.0,-39.0
SD,SB2,66.0,1.0,0.0,1.0,300.0,0.0,235.0
SD,HY,2.0,1.0,0.0,1.0,414.0,0.0,-476.0
SD,HY,3.0,1.0,0.0,-1.0,0.0,1.0,284.0
SD,HY,4.0,1.0,0.0,-1.0,0.0,1.0,38.0
SD,HY,5.0,1.0,0.0,1.0,361.0,0.0,246.0
SD,HY,6.0,1.0,0.0,1.0,329.0,0.0,-331.0
SD,HY,7.0,1.0,0.0,1.0,389.0,0.0,-214.0
SD,HY,8.0,1.0,0.0,-1.0,0.0,1.0,465.0
SD,HY,9.0,1.0,0.0,-1.0,0.0,1.0,295.0
SD,HY,10.0,1.0,0.0,-1.0,0.0,1.0,156.0
SD,HY,11.0,1.0,0.0,1.0,375.0,0.0,-247.0
SD,HY,12.0,1.0,0.0,1.0,254.0,0.0,-420.0
SD,HY,13.0,1.0,0.0,1.0,310.0,0.0,238.0
SD,HY,14.0,1.0,0.0,-1.0,0.0,1.0,-139.0
SD,HY,15.0,1.0,0.0,-1.0,0.0,1.0,17.0
SD,HY,16.0,1.0,0.0,1.0,480.0,0.0,-455.0
SD,HY,17.0,1.0,0.0,1.0,360.0,0.0,305.0
SD,HY,18.0,1.0,0.0,-1.0,0.0,1.0,-404.0
SD,HY,19.0,1.0,0.0,-1.0,0.0,1.0,-38.0
SD,HY,20.0,1.0,0.0,1.0,310.0,0.0,266.0
SD,HY,21.0,1.0,0.0,1.0,350.0,0.0,-265.0
SD,HY,22.0,1.0,0.0,-1.0,0.0,1.0,55.0
SD,HY,23.0,1.0,0.0,-1.0,0.0,1.0,267.0
SD,HY,24.0,1.0,0.0,1.0,420.0,0.0,-347.0
SD,HY,25.0,1.0,0.0,1.0,399.0,0.0,264.0
SD,HY,27.0,1.0,0.0,1.0,470.0,0.0,-116.0
SD,HY,28.0,1.0,0.0,1.0,399.0,0.0,449.0
SD,HY,29.0,1.0,0.0,1.0,195.0,0.0,183.0
SD,HY,30.0,1.0,0.0,1.0,306.0,0.0,-21.0
SD,HY,31.0,1.0,0.0,-1.0,0.0,1.0,212.0
SD,HY,32.0,1.0,0.0,-1.0,0.0,1.0,-418.0
SD,HY,33.0,1.0,0.0,1.0,465.0,0.0,-214.0
SD,HY,34.0,1.0,0.0,1.0,352.0,0.0,-145.0
SD,HY,35.0,1.0,0.0,1.0,359.0,0.0,357.0
SD,HY,36.0,1.0,0.0,1.0,324.0,0.0,448.0
SD,HY,37.0,1.0,0.0,-1.0,0.0,1.0,350.0
SD,HY,39.0,1.0,0.0,-1.0,0.0,1.0,-93.0
SD,HY,40.0,1.0,0.0,1.0,435.0,0.0,-149.0
SD,HY,41.0,1.0,0.0,1.0,497.0,0.0,248.0
SD,HY,42.0,1.0,0.0,-1.0,0.0,1.0,-392.0
SD,HY,43.0,1.0,0.0,-1.0,0.0,1.0,-161.0
SD,HY,44.0,1.0,0.0,1.0,361.0,0.0,-218.0
SD,HY,45.0,1.0,0.0,1.0,379.0,0.0,354.0
SD,HY,46.0,1.0,0.0,-1.0,0.0,1.0,127.0
SD,HY,47.0,1.0,1.0,0.0,364.0,0.0,-163.0
SD,HY,48.0,1.0,0.0,-1.0,0.0,1.0,310.0
SD,HY,49.0,1.0,0.0,1.0,71.0,1.0,114.0
SD,HY,50.0,1.0,0.0,1.0,381.0,0.0,-303.0
SD,HY,51.0,1.0,0.0,-1.0,0.0,1.0,-337.0
SD,HY,52.0,1.0,0.0,1.0,330.0,0.0,-293.0
SD,HY,53.0,1.0,0.0,-1.0,0.0,1.0,116.0
SD,HY,54.0,1.0,0.0,1.0,415.0,0.0,-327.0
SD,HY,55.0,1.0,0.0,-1.0,0.0,1.0,374.0
SD,HY,56.0,1.0,0.0,1.0,355.0,0.0,139.0
SD,HY,57.0,1.0,0.0,1.0,390.0,0.0,118.0
SD,HY,58.0,1.0,0.0,1.0,354.0,0.0,-432.0
SD,HY,59.0,1.0,0.0,1.0,335.0,0.0,108.0
SD,HY,60.0,1.0,0.0,1.0,395.0,0.0,-371.0
SD,HY,61.0,1.0,0.0,1.0,301.0,0.0,258.0
SD,HY,62.0,1.0,0.0,-1.0,0.0,1.0,264.0
SD,HY,63.0,1.0,0.0,1.0,436.0,0.0,-363.0
SD,HY,64.0,1.0,0.0,-1.0,0.0,1.0,-354.0
SD,HY,65.0,1.0,0.0,-1.0,0.0,1.0,380.0
SD,HY,66.0,1.0,0.0,1.0,301.0,0.0,49.0
SD,HY,67.0,1.0,0.0,-1.0,0.0,1.0,-265.0
SD,HY,68.0,1.0,0.0,1.0,399.0,0.0,203.0
SD,HY,69.0,1.0,0.0,1.0,470.0,0.0,-347.0
SD,HY,70.0,1.0,0.0,-1.0,0.0,1.0,373.0
SD,HY,71.0,1.0,0.0,1.0,264.0,0.0,406.0
SD,HY,72.0,1.0,0.0,1.0,335.0,0.0,-387.0
SD,CD2,2.0,1.0,0.0,1.0,406.0,0.0,-218.0
SD,CD2,3.0,1.0,0.0,1.0,374.0,0.0,-93.0
SD,CD2,4.0,1.0,1.0,0.0,96.0,1.0,242.0
SD,CD2,5.0,1.0,0.0,1.0,415.0,0.0,-364.0
SD,CD2,6.0,1.0,0.0,-1.0,0.0,1.0,-248.0
SD,CD2,7.0,1.0,0.0,-1.0,0.0,1.0,-133.0
SD,CD2,8.0,1.0,0.0,1.0,385.0,0.0,149.0
SD,CD2,9.0,1.0,0.0,1.0,279.0,0.0,276.0
SD,CD2,10.0,1.0,1.0,0.0,310.0,0.0,-30.0
SD,CD2,11.0,1.0,0.0,1.0,344.0,0.0,139.0
SD,CD2,12.0,1.0,0.0,1.0,331.0,0.0,-68.0
SD,CD2,13.0,1.0,0.0,1.0,375.0,0.0,-313.0
SD,CD2,14.0,1.0,0.0,1.0,364.0,0.0,124.0
SD,CD2,15.0,1.0,0.0,1.0,375.0,0.0,318.0
SD,CD2,16.0,1.0,0.0,1.0,380.0,0.0,-181.0
SD,CD2,17.0,1.0,0.0,1.0,459.0,0.0,-414.0
SD,CD2,18.0,1.0,0.0,1.0,114.0,0.0,197.0
SD,CD2,19.0,1.0,0.0,1.0,286.0,0.0,316.0
SD,CD2,20.0,1.0,0.0,1.0,370.0,0.0,-27.0
SD,CD2,21.0,1.0,0.0,1.0,346.0,0.0,267.0
SD,CD2,22.0,1.0,0.0,-1.0,0.0,1.0,273.0
SD,CD2,23.0,1.0,0.0,-1.0,0.0,1.0,-16.0
SD,CD2,24.0,1.0,0.0,1.0,290.0,0.0,-138.0
SD,CD2,25.0,1.0,0.0,1.0,361.0,0.0,330.0
SD,CD2,26.0,1.0,0.0,1.0,321.0,0.0,-425.0
SD,CD2,27.0,1.0,0.0,1.0,320.0,0.0,342.0
SD,CD2,28.0,1.0,1.0,0.0,240.0,0.0,258.0
SD,CD2,29.0,1.0,0.0,-1.0,0.0,1.0,-90.0
SD,CD2,30.0,1.0,0.0,-1.0,0.0,1.0,-133.0
SD,CD2,31.0,1.0,0.0,1.0,444.0,0.0,77.0
SD,CD2,32.0,1.0,0.0,1.0,291.0,0.0,-409.0
SD,CD2,33.0,1.0,0.0,1.0,315.0,0.0,334.0
SD,CD2,34.0,1.0,0.0,1.0,296.0,0.0,-262.0
SD,CD2,35.0,1.0,1.0,0.0,246.0,0.0,384.0
SD,CD2,36.0,1.0,0.0,1.0,300.0,0.0,66.0
SD,CD2,37.0,1.0,0.0,1.0,299.0,0.0,-359.0
SD,CD2,38.0,1.0,0.0,-1.0,0.0,1.0,-274.0
SD,CD2,39.0,1.0,0.0,-1.0,0.0,1.0,-150.0
SD,CD2,40.0,1.0,0.0,-1.0,0.0,1.0,31.0
SD,CD2,41.0,1.0,1.0,0.0,255.0,0.0,-49.0
SD,CD2,42.0,1.0,0.0,1.0,299.0,0.0,25.0
SD,CD2,43.0,1.0,0.0,1.0,383.0,0.0,-126.0
SD,CD2,44.0,1.0,1.0,0.0,270.0,0.0,-420.0
SD,CD2,45.0,1.0,0.0,-1.0,0.0,1.0,48.0
SD,CD2,46.0,1.0,0.0,1.0,286.0,0.0,236.0
SD,CD2,47.0,1.0,0.0,1.0,301.0,0.0,142.0
SD,CD2,48.0,1.0,0.0,1.0,245.0,0.0,368.0
SD,CD2,50.0,1.0,0.0,-1.0,0.0,1.0,-80.0
SD,CD2,51.0,1.0,0.0,1.0,331.0,0.0,128.0
SD,CD2,52.0,1.0,0.0,1.0,406.0,0.0,-432.0
SD,CD2,53.0,1.0,0.0,1.0,365.0,0.0,303.0
SD,CD2,54.0,1.0,0.0,1.0,400.0,0.0,-243.0
SD,CD2,55.0,1.0,0.0,1.0,347.0,0.0,247.0
SD,CD2,56.0,1.0,0.0,1.0,376.0,0.0,-245.0
SD,CD2,57.0,1.0,1.0,0.0,60.0,1.0,42.0
SD,CD2,58.0,1.0,0.0,1.0,311.0,0.0,276.0
SD,CH,2.0,1.0,0.0,1.0,315.0,0.0,-239.0
SD,CH,3.0,1.0,0.0,-1.0,0.0,1.0,5.0
SD,CH,4.0,1.0,0.0,1.0,285.0,0.0,289.0
SD,CH,5.0,1.0,0.0,1.0,389.0,0.0,-351.0
SD,CH,6.0,1.0,0.0,-1.0,0.0,1.0,-8.0
SD,CH,7.0,1.0,0.0,1.0,265.0,0.0,-461.0
SD,CH,8.0,1.0,0.0,1.0,284.0,0.0,476.0
SD,CH,9.0,1.0,1.0,0.0,260.0,0.0,424.0
SD,CH,10.0,1.0,0.0,-1.0,0.0,1.0,-397.0
SD,CH,11.0,1.0,1.0,0.0,135.0,0.0,428.0
SD,CH,12.0,1.0,0.0,1.0,300.0,0.0,-267.0
SD,CH,13.0,1.0,0.0,1.0,325.0,0.0,-264.0
SD,CH,14.0,1.0,1.0,0.0,246.0,0.0,382.0
SD,CH,15.0,1.0,0.0,-1.0,0.0,1.0,-29.0
SD,CH,16.0,1.0,0.0,-1.0,0.0,1.0,9.0
SD,CH,17.0,1.0,0.0,1.0,285.0,0.0,128.0
SD,CH,18.0,1.0,0.0,1.0,294.0,0.0,-354.0
SD,CH,19.0,1.0,0.0,1.0,335.0,0.0,344.0
SD,CH,20.0,1.0,0.0,1.0,320.0,0.0,-426.0
SD,CH,21.0,1.0,1.0,0.0,281.0,0.0,-323.0
SD,CH,22.0,1.0,0.0,-1.0,0.0,1.0,79.0
SD,CH,23.0,1.0,0.0,1.0,205.0,0.0,310.0
SD,CH,24.0,1.0,0.0,1.0,270.0,0.0,144.0
SD,CH,25.0,1.0,0.0,1.0,239.0,0.0,-479.0
SD,CH,26.0,1.0,0.0,1.0,284.0,0.0,304.0
SD,CH,27.0,1.0,0.0,1.0,326.0,0.0,-283.0
SD,CH,28.0,1.0,0.0,1.0,260.0,0.0,-185.0
SD,CH,29.0,1.0,0.0,1.0,280.0,0.0,-439.0
SD,CH,30.0,1.0,0.0,-1.0,0.0,1.0,369.0
SD,CH,31.0,1.0,0.0,1.0,260.0,0.0,200.0
SD,CH,32.0,1.0,0.0,1.0,315.0,0.0,448.0
SD,CH,33.0,1.0,0.0,-1.0,0.0,1.0,-212.0
SD,CH,34.0,1.0,0.0,1.0,225.0,0.0,-308.0
SD,CH,35.0,1.0,0.0,-1.0,0.0,1.0,-57.0
SD,CH,36.0,1.0,0.0,1.0,255.0,0.0,-112.0
SD,CH,37.0,1.0,0.0,-1.0,0.0,1.0,-188.0
SD,CH,38.0,1.0,0.0,1.0,130.0,0.0,418.0
SD,CH,39.0,1.0,1.0,0.0,205.0,0.0,-360.0
SD,CH,40.0,1.0,0.0,-1.0,0.0,1.0,9.0
SD,CH,41.0,1.0,0.0,1.0,290.0,0.0,-103.0
SD,CH,42.0,1.0,0.0,1.0,315.0,0.0,73.0
SD,CH,43.0,1.0,0.0,1.0,204.0,0.0,275.0
SD,CH,44.0,1.0,0.0,-1.0,0.0,1.0,-190.0
SD,CH,45.0,1.0,0.0,1.0,245.0,0.0,-213.0
SD,CH,46.0,1.0,0.0,1.0,335.0,0.0,75.0
SD,CH,47.0,1.0,0.0,1.0,270.0,0.0,42.0
SD,CH,48.0,1.0,0.0,1.0,260.0,0.0,423.0
SD,CH,49.0,1.0,0.0,1.0,275.0,0.0,-280.0
SD,CH,50.0,1.0,1.0,0.0,220.0,0.0,365.0
SD,CH,51.0,1.0,0.0,1.0,295.0,0.0,-140.0
SD,CH,52.0,1.0,0.0,1.0,285.0,0.0,-378.0
SD,CH,53.0,1.0,0.0,1.0,256.0,0.0,71.0
SD,CH,54.0,1.0,0.0,1.0,260.0,0.0,271.0
SD,CH,55.0,1.0,1.0,0.0,240.0,0.0,-248.0
SD,CH,56.0,1.0,0.0,1.0,220.0,0.0,415.0
SD,CH,57.0,1.0,0.0,1.0,446.0,0.0,-456.0
SD,CH,58.0,1.0,0.0,1.0,245.0,0.0,409.0
SD,CH,59.0,1.0,0.0,1.0,245.0,0.0,-204.0
SD,CH,60.0,1.0,0.0,1.0,246.0,0.0,81.0
SD,CH,61.0,1.0,0.0,-1.0,0.0,1.0,14.0
SD,CH,62.0,1.0,1.0,0.0,190.0,0.0,-40.0
SD,CH,63.0,1.0,0.0,1.0,275.0,0.0,-41.0
SD,CH,64.0,1.0,0.0,1.0,280.0,0.0,119.0
SD,CH,65.0,1.0,0.0,1.0,285.0,0.0,-185.0
SD,CH,66.0,1.0,0.0,1.0,305.0,0.0,169.0
SD,JS,2.0,1.0,0.0,1.0,349.0,0.0,-353.0
SD,JS,3.0,1.0,0.0,1.0,299.0,0.0,119.0
SD,JS,4.0,1.0,0.0,1.0,267.0,0.0,355.0
SD,JS,5.0,1.0,0.0,1.0,410.0,0.0,-68.0
SD,JS,6.0,1.0,0.0,1.0,294.0,0.0,-307.0
SD,JS,7.0,1.0,0.0,1.0,295.0,0.0,340.0
SD,JS,8.0,1.0,1.0,0.0,335.0,0.0,-337.0
SD,JS,9.0,1.0,0.0,1.0,247.0,0.0,267.0
SD,JS,10.0,1.0,0.0,1.0,301.0,0.0,148.0
SD,JS,11.0,1.0,0.0,1.0,335.0,0.0,-419.0
SD,JS,12.0,1.0,0.0,-1.0,0.0,1.0,18.0
SD,JS,13.0,1.0,0.0,1.0,274.0,0.0,266.0
SD,JS,14.0,1.0,0.0,1.0,270.0,0.0,98.0
SD,JS,15.0,1.0,0.0,1.0,285.0,0.0,454.0
SD,JS,16.0,1.0,0.0,1.0,371.0,0.0,-261.0
SD,JS,17.0,1.0,0.0,1.0,496.0,0.0,-67.0
SD,JS,18.0,1.0,1.0,0.0,240.0,0.0,369.0
SD,JS,19.0,1.0,0.0,1.0,450.0,0.0,-69.0
SD,JS,20.0,1.0,0.0,1.0,311.0,0.0,117.0
SD,JS,21.0,1.0,0.0,1.0,311.0,0.0,-161.0
SD,JS,22.0,1.0,0.0,1.0,355.0,0.0,356.0
SD,JS,23.0,1.0,0.0,1.0,400.0,0.0,93.0
SD,JS,24.0,1.0,0.0,1.0,365.0,0.0,-464.0
SD,JS,25.0,1.0,0.0,1.0,340.0,0.0,167.0
SD,JS,26.0,1.0,0.0,1.0,351.0,0.0,-190.0
SD,JS,27.0,1.0,0.0,1.0,324.0,0.0,-268.0
SD,JS,28.0,1.0,1.0,0.0,326.0,0.0,68.0
SD,JS,29.0,1.0,0.0,1.0,306.0,0.0,88.0
SD,JS,30.0,1.0,0.0,1.0,336.0,0.0,-476.0
SD,JS,31.0,1.0,0.0,1.0,346.0,0.0,77.0
SD,JS,32.0,1.0,0.0,1.0,371.0,0.0,-233.0
SD,JS,33.0,1.0,0.0,1.0,420.0,0.0,418.0
SD,JS,35.0,1.0,0.0,1.0,380.0,0.0,56.0
SD,JS,36.0,1.0,1.0,0.0,270.0,0.0,-76.0
SD,JS,37.0,1.0,0.0,1.0,475.0,0.0,-470.0
SD,JS,38.0,1.0,0.0,1.0,364.0,0.0,-256.0
SD,JS,39.0,1.0,0.0,1.0,385.0,0.0,157.0
SD,JS,40.0,1.0,0.0,1.0,401.0,0.0,376.0
SD,JS,41.0,1.0,0.0,1.0,436.0,0.0,-74.0
SD,JS,42.0,1.0,0.0,1.0,385.0,0.0,-64.0
SD,LK_,2.0,1.0,0.0,1.0,345.0,0.0,-354.0
SD,LK_,3.0,1.0,1.0,0.0,320.0,0.0,479.0
SD,LK_,4.0,1.0,0.0,-1.0,0.0,1.0,-289.0
SD,LK_,5.0,1.0,0.0,-1.0,0.0,1.0,472.0
SD,LK_,6.0,1.0,0.0,-1.0,0.0,1.0,424.0
SD,LK_,7.0,1.0,0.0,-1.0,0.0,1.0,52.0
SD,LK_,9.0,1.0,1.0,0.0,280.0,0.0,343.0
SD,LK_,10.0,1.0,0.0,1.0,372.0,0.0,-465.0
SD,LK_,11.0,1.0,0.0,-1.0,0.0,1.0,307.0
SD,LK_,12.0,1.0,1.0,0.0,245.0,0.0,-425.0
SD,LK_,13.0,1.0,0.0,-1.0,0.0,1.0,-141.0
SD,LK_,14.0,1.0,0.0,1.0,320.0,0.0,-59.0
SD,LK_,15.0,1.0,0.0,1.0,346.0,0.0,-302.0
SD,LK_,16.0,1.0,0.0,-1.0,0.0,1.0,-10.0
SD,LK_,17.0,1.0,0.0,1.0,329.0,0.0,353.0
SD,LK_,18.0,1.0,0.0,-1.0,0.0,1.0,308.0
SD,LK_,19.0,1.0,0.0,-1.0,0.0,1.0,-145.0
SD,LK_,20.0,1.0,0.0,-1.0,0.0,1.0,318.0
SD,LK_,21.0,1.0,0.0,-1.0,0.0,1.0,73.0
SD,LK_,22.0,1.0,0.0,1.0,349.0,0.0,-357.0
SD,LK_,23.0,1.0,0.0,1.0,336.0,0.0,78.0
SD,LK_,24.0,1.0,0.0,-1.0,0.0,1.0,-7.0
SD,LK_,25.0,1.0,0.0,1.0,370.0,0.0,455.0
SD,LK_,26.0,1.0,0.0,1.0,389.0,0.0,-315.0
SD,LK_,27.0,1.0,0.0,1.0,406.0,0.0,79.0
SD,LK_,28.0,1.0,0.0,1.0,381.0,0.0,-102.0
SD,LK_,29.0,1.0,0.0,1.0,430.0,0.0,-85.0
SD,LK_,30.0,1.0,0.0,1.0,369.0,0.0,-306.0
SD,LK_,31.0,1.0,0.0,1.0,391.0,0.0,445.0
SD,LK_,32.0,1.0,0.0,-1.0,0.0,1.0,141.0
SD,LK_,33.0,1.0,0.0,-1.0,0.0,1.0,16.0
SD,LK_,34.0,1.0,0.0,-1.0,0.0,1.0,10.0
SD,LK_,35.0,1.0,0.0,1.0,351.0,0.0,120.0
SD,LK_,36.0,1.0,0.0,1.0,345.0,0.0,-420.0
SD,LK_,37.0,1.0,0.0,-1.0,0.0,1.0,-14.0
SD,LK_,38.0,1.0,1.0,0.0,240.0,0.0,253.0
SD,LK_,39.0,1.0,0.0,1.0,339.0,0.0,198.0
SD,LK_,40.0,1.0,0.0,1.0,325.0,0.0,-450.0
SD,LK_,41.0,1.0,0.0,1.0,434.0,0.0,85.0
SD,LK_,42.0,1.0,0.0,1.0,256.0,0.0,137.0
SD,LK_,43.0,1.0,0.0,-1.0,0.0,1.0,-445.0
SD,LK_,44.0,1.0,1.0,0.0,300.0,0.0,466.0
SD,LK_,45.0,1.0,0.0,1.0,366.0,0.0,-411.0
SD,LK_,46.0,1.0,0.0,1.0,329.0,0.0,154.0
SD,LK_,47.0,1.0,0.0,-1.0,0.0,1.0,-18.0
SD,LK_,48.0,1.0,0.0,-1.0,0.0,1.0,-121.0
SD,LK_,49.0,1.0,1.0,0.0,324.0,0.0,97.0
SD,LK_,50.0,1.0,0.0,-1.0,0.0,1.0,-235.0
SD,LK_,51.0,1.0,0.0,-1.0,0.0,1.0,-123.0
SD,LK_,52.0,1.0,0.0,-1.0,0.0,1.0,-14.0
SD,LK_,53.0,1.0,0.0,1.0,406.0,0.0,338.0
SD,LK_,54.0,1.0,0.0,1.0,360.0,0.0,410.0
SD,LK_,55.0,1.0,0.0,1.0,389.0,0.0,-195.0
SD,LK_,56.0,1.0,0.0,1.0,295.0,0.0,-472.0
SD,LK_,57.0,1.0,0.0,1.0,320.0,0.0,407.0
SD,LK_,58.0,1.0,0.0,1.0,380.0,0.0,-479.0
SD,LK_,59.0,1.0,0.0,1.0,419.0,0.0,214.0
SD,LK_,60.0,1.0,1.0,0.0,310.0,0.0,410.0
SD,LK_,61.0,1.0,0.0,1.0,319.0,0.0,-462.0
SD,LK_,62.0,1.0,0.0,1.0,364.0,0.0,274.0
SD,LK_,63.0,1.0,0.0,1.0,320.0,0.0,96.0
SD,LK_,64.0,1.0,0.0,1.0,475.0,0.0,-199.0
SD,LK_,65.0,1.0,0.0,1.0,376.0,0.0,-101.0
SD,LK_,66.0,1.0,0.0,-1.0,0.0,1.0,-154.0
SD,LK_,67.0,1.0,1.0,0.0,285.0,0.0,439.0
SD,LK_,68.0,1.0,0.0,-1.0,0.0,1.0,48.0
SD,LK_,69.0,1.0,0.0,1.0,354.0,0.0,-321.0
SD,LK_,70.0,1.0,0.0,-1.0,0.0,1.0,11.0
SD,LK_,71.0,1.0,0.0,1.0,395.0,0.0,-264.0
SD,LK_,72.0,1.0,0.0,1.0,345.0,0.0,216.0
SD,LK_,73.0,1.0,0.0,-1.0,0.0,1.0,-161.0
SD,BG,2.0,1.0,0.0,1.0,280.0,0.0,90.0
SD,BG,3.0,1.0,1.0,0.0,275.0,0.0,-245.0
SD,BG,4.0,1.0,0.0,1.0,294.0,0.0,-81.0
SD,BG,5.0,1.0,0.0,1.0,345.0,0.0,203.0
SD,BG,6.0,1.0,0.0,1.0,195.0,0.0,207.0
SD,BG,7.0,1.0,0.0,1.0,410.0,0.0,-317.0
SD,BG,8.0,1.0,0.0,1.0,305.0,0.0,138.0
SD,BG,9.0,1.0,0.0,1.0,290.0,0.0,158.0
SD,BG,10.0,1.0,0.0,1.0,245.0,0.0,27.0
SD,BG,11.0,1.0,0.0,1.0,265.0,0.0,-419.0
SD,BG,12.0,1.0,0.0,-1.0,0.0,1.0,-452.0
SD,BG,13.0,1.0,0.0,1.0,316.0,0.0,-242.0
SD,BG,14.0,1.0,0.0,-1.0,0.0,1.0,184.0
SD,BG,15.0,1.0,0.0,1.0,272.0,0.0,266.0
SD,BG,16.0,1.0,0.0,1.0,370.0,0.0,-400.0
SD,BG,17.0,1.0,0.0,1.0,235.0,0.0,210.0
SD,BG,18.0,1.0,0.0,1.0,249.0,0.0,333.0
SD,BG,19.0,1.0,0.0,1.0,325.0,0.0,-294.0
SD,BG,20.0,1.0,0.0,1.0,321.0,0.0,-259.0
SD,BG,21.0,1.0,0.0,1.0,345.0,0.0,-56.0
SD,BG,22.0,1.0,0.0,1.0,334.0,0.0,80.0
SD,BG,23.0,1.0,0.0,-1.0,0.0,1.0,230.0
SD,BG,24.0,1.0,0.0,-1.0,0.0,1.0,-241.0
SD,BG,25.0,1.0,0.0,-1.0,0.0,1.0,117.0
SD,BG,26.0,1.0,0.0,1.0,281.0,0.0,465.0
SD,BG,27.0,1.0,0.0,1.0,275.0,0.0,-234.0
SD,BG,28.0,1.0,0.0,1.0,479.0,0.0,215.0
SD,BG,29.0,1.0,0.0,1.0,396.0,0.0,47.0
SD,BG,30.0,1.0,0.0,1.0,326.0,0.0,-105.0
SD,BG,31.0,1.0,0.0,1.0,300.0,0.0,99.0
SD,BG,32.0,1.0,0.0,1.0,355.0,0.0,-32.0
